Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolment,Supplementary_Application 
Accounting,65,6892,19314,"ENG4U,Two U/M Math",Yes,N/A,No
Anishinaabe Studies,75,6892,19314,ENG4U,No,N/A,No
Anishinaabemowin,65,6892,19314,ENG4U,No,N/A,No
Biology,70,6892,19314,"ENG4U,MHF4U,2 U/M Sciences",No,N/A,No
Business,70,6892,19314,"ENG4U,Two U/M Math",Yes,N/A,No
Community Development,65,6892,19314,ENG4U,No,N/A,No
Community Economic and Social Development,65,6892,19314,ENG4U,No ,N/A,No
Computer Sciecne,65,6892,19314,"ENG4U,MFH4U,2 U/M Sciences",Yes,N/A,No
Economics,65,6892,19314,"ENG4U, Two U/M Math",Yes,N/A,No
Engineering,70,6892,19314,"ENG4U,MHF4U,SCH4U,SPH4U, 1 4U Science/Math",Yes,N/A,No
English ,65,6892,19314,ENG4U,No,N/A,No
Environmental Science,65,6892,19314,"ENG4U,MHF4U,2 U/M Sciences",No,N/A,No
Finance and Economics,65,6892,19314,"ENG4U, Two U/M Math",Yes,N/A,No
Geography ,65,6892,19314,ENG4U,No,N/A,No
History ,65,6892,19314,ENG4U,No,N/A,No
Law and Justice,65,6892,19314,ENG4U,No,N/A,No
Music ,65,6892,19314,ENG4U,No,N/A,Yes
Political Science ,65,6892,19314,ENG4U,No,N/A,No
Psychology,70,6892,19314,"ENG4U, one U/M Math, Two U/M Sciences",No,N/A,No
Social Work ,70,6892,19314,ENG4U,No,N/A,No
Sociology,65,6892,19314,ENG4U ,No,N/A,No
Visual Arts,65,6892,19314,ENG4U,No,N/A,Yes